level,category,action,merged_into,n_events
genre,Multimedia,merged_to_parent,Arts & Theatre,1
genre,New Age,merged_to_parent,Music,1
genre,Circus & Specialty Acts,merged_to_parent,Arts & Theatre,1
genre,Chanson Francaise,merged_to_parent,Music,1
genre,Drama,merged_to_parent,Film,1
genre,Health/Wellness,merged_to_parent,Miscellaneous,1
genre,Foreign,merged_to_parent,Film,1
genre,Boxing,merged_to_parent,Sports,1
genre,Food & Drink,merged_to_parent,Miscellaneous,1
genre,Wrestling,merged_to_parent,Sports,1
genre,Cricket,merged_to_parent,Sports,2
genre,Latin,merged_to_parent,Music,2
genre,Fairs & Festivals,merged_to_parent,Miscellaneous,3
genre,Cycling,merged_to_parent,Sports,4
genre,Football,merged_to_parent,Sports,4
genre,Reggae,merged_to_parent,Music,7
genre,Equestrian,kept_separate_concentrated,,7
genre,Ice Shows,kept_separate_concentrated,,8
genre,Performance Art,merged_to_parent,Arts & Theatre,9
genre,Lecture/Seminar,merged_to_parent,Miscellaneous,9
sub_genre,Ska Revival,merged_to_parent,Rock,1
sub_genre,Multimedia,no_op_same_label,Multimedia,1
sub_genre,New Age,no_op_same_label,New Age,1
sub_genre,Bluegrass,merged_to_parent,Country,1
sub_genre,British Pop,merged_to_parent,Pop,1
sub_genre,Health/Wellness,no_op_same_label,Health/Wellness,1
sub_genre,College,merged_to_parent,Football,1
sub_genre,Afro-Beat,merged_to_parent,World,1
sub_genre,New Wave,merged_to_parent,Rock,1
sub_genre,Food & Drink,no_op_same_label,Food & Drink,1
sub_genre,European Pop,merged_to_parent,Pop,1
sub_genre,Wrestling,no_op_same_label,Wrestling,1
sub_genre,Country Gospel,merged_to_parent,Country,1
sub_genre,Dance Pop,merged_to_parent,Dance/Electronic,1
sub_genre,Celtic Folk,merged_to_parent,Folk,1
sub_genre,Amapiano,merged_to_parent,Dance/Electronic,1
sub_genre,Post-Punk,merged_to_parent,Alternative,1
sub_genre,Boxing,no_op_same_label,Boxing,1
sub_genre,Dance Band,merged_to_parent,Dance/Electronic,1
sub_genre,A Cappella,merged_to_parent,Pop,1
sub_genre,Worldbeat,merged_to_parent,World,1
sub_genre,Psychedelic,merged_to_parent,Rock,1
sub_genre,Philly Soul,merged_to_parent,R&B,1
sub_genre,Goth,merged_to_parent,Alternative,1
sub_genre,Post-Rock/Experimental,merged_to_parent,Alternative,1
sub_genre,Rap-Rock,merged_to_parent,Hip-Hop/Rap,1
sub_genre,Foreign,no_op_same_label,Foreign,1
sub_genre,Party Rap,merged_to_parent,Hip-Hop/Rap,1
sub_genre,Circus,merged_to_parent,Circus & Specialty Acts,1
sub_genre,Americana,merged_to_parent,Folk,1
sub_genre,Chanson Francaise,no_op_same_label,Chanson Francaise,1
sub_genre,Traditional Scottish Folk,merged_to_parent,Folk,1
sub_genre,Big Band,merged_to_parent,Jazz,1
sub_genre,Progressive Rock,merged_to_parent,Rock,1
sub_genre,Brazil,merged_to_parent,World,1
sub_genre,Art Rock,merged_to_parent,Rock,2
sub_genre,Bollywood,merged_to_parent,World,2
sub_genre,Irish Folk,merged_to_parent,Folk,2
sub_genre,Drag,merged_to_parent,Performance Art,2
sub_genre,Hip-Hop/Rap,no_op_same_label,Hip-Hop/Rap,2
sub_genre,Funk-Rock,merged_to_parent,Rock,2
sub_genre,Latin,no_op_same_label,Latin,2
sub_genre,Hard Rock,merged_to_parent,Rock,2
sub_genre,Funk,merged_to_parent,R&B,2
sub_genre,Trip Hop,merged_to_parent,Dance/Electronic,2
sub_genre,Indie Pop,merged_to_parent,Alternative,2
sub_genre,Mystery,merged_to_parent,Theatre,2
sub_genre,Soul Jazz,merged_to_parent,Jazz,2
sub_genre,House,merged_to_parent,Dance/Electronic,2
sub_genre,Rock & Roll,merged_to_parent,Rock,2
sub_genre,Cricket,no_op_same_label,Cricket,2
sub_genre,Acoustic Blues,merged_to_parent,Blues,2
sub_genre,Post-Hardcore,merged_to_parent,Rock,2
sub_genre,Motown,merged_to_parent,R&B,2
sub_genre,Adult Alternative Pop/Rock,merged_to_parent,Alternative,3
sub_genre,International Rules,merged_to_parent,Football,3
sub_genre,Ballet,merged_to_parent,Dance,3
sub_genre,Blues-Rock,merged_to_parent,Rock,3
sub_genre,Fairs & Festivals,no_op_same_label,Fairs & Festivals,3
sub_genre,Podcast,merged_to_parent,Theatre,3
sub_genre,Rugby League,merged_to_parent,Rugby,3
sub_genre,Electronic,merged_to_parent,Rock,3
sub_genre,Cycling,no_op_same_label,Cycling,4
sub_genre,Singer-Songwriter,merged_to_parent,Pop,4
sub_genre,Folk Rock,merged_to_parent,Folk,4
sub_genre,Urban,merged_to_parent,Hip-Hop/Rap,4
sub_genre,Flamenco,kept_separate_concentrated,,5
sub_genre,K-Pop,merged_to_parent,Pop,6
sub_genre,Metal,no_op_same_label,Metal,6
sub_genre,Pop Rock,merged_to_parent,Pop,6
sub_genre,World,no_op_same_label,World,7
sub_genre,Reggae,no_op_same_label,Reggae,7
sub_genre,Performance Art,no_op_same_label,Performance Art,7
sub_genre,Horse Racing,kept_separate_concentrated,,7
sub_genre,Blues,no_op_same_label,Blues,8
sub_genre,Ice Shows,kept_separate_concentrated,,8
sub_genre,Indie Rock,kept_separate_concentrated,,8
sub_genre,Rugby Union,merged_to_parent,Rugby,9
sub_genre,Lecture/Seminar,no_op_same_label,Lecture/Seminar,9
sub_genre,Punk,merged_to_parent,Rock,9
sub_genre,Club Dance,merged_to_parent,Dance/Electronic,9
